experiment,dataset,command,status,runtime_s,classifier,test_acc,test_f1,test_auc,wsd,epsilon,delta,notes
adult,Adult (real),python adult.py,EXECUTED,2864.62,tabicl,80.94,70.78,84.94,1-way=0.0292; 2-way=0.0527; 3-way=0.0758,1.0,2.8805876962760987e-06,
artificial_characters,Artificial Characters (real),python artificial_characters.py,EXECUTED,224.23,tabicl,51.6,50.92,,5-way=0.1519; 6-way=0.1862; 7-way=0.2175,1.0,1.575422064457033e-05,
breast_cancer,Breast Cancer (real),python breast_cancer.py,EXECUTED,230.53,tabicl,91.86,91.44,98.73,1-way=0.1644; 2-way=0.2767; 3-way=0.3749,1.0,0.00041970816968923,
person_activity,Person Activity (real),python person_activity.py,EXECUTED,4497.71,tabicl,64.04,36.52,,5-way=0.1175; 6-way=0.1526; 7-way=0.1868,1.0,7.434136520415307e-07,
scm_nn,SCM (simulated),python scm.py --prior-function nn,EXECUTED,745.5,tabicl,85.48,85.46,93.8,5-way=0.1432; 6-way=0.1817; 7-way=0.2174,1.0,2.730683970301006e-06,
scm_rff,SCM (simulated),python scm.py --prior-function rff,EXECUTED,739.31,tabicl,61.08,61.03,64.14,5-way=0.1460; 6-way=0.1860; 7-way=0.2243,1.0,2.730683970301006e-06,
scm_tree,SCM (simulated),python scm.py --prior-function tree,EXECUTED,742.1,tabicl,66.68,66.66,72.61,5-way=0.1424; 6-way=0.1828; 7-way=0.2210,1.0,2.730683970301006e-06,
xor_stress_test_1_features,XOR stress test (1 feature),python scripts/experiments/xor_no_classifier.py --num-features 1,EXECUTED,5.41,,,,,,1.0,1/n/ln(n),classifier: NOT_RUN (tabpfn requires interactive license/TABPFN_TOKEN) | deviation: TabClassifier(model_name='tabpfn') removed; generation/DP unchanged.
xor_stress_test_2_features,XOR stress test (2 feature),python scripts/experiments/xor_no_classifier.py --num-features 2,EXECUTED,5.67,,,,,,1.0,1/n/ln(n),classifier: NOT_RUN (tabpfn requires interactive license/TABPFN_TOKEN) | deviation: TabClassifier(model_name='tabpfn') removed; generation/DP unchanged.
xor_stress_test,XOR stress test (simulated),python xor_stress_test.py --num-features 1,FAILED,7.82,tabpfn,,,,,1.0,1/n/ln(n),tabpfn.errors.TabPFNLicenseError: TabPFN requires a one-time license acceptance to download
