iteration,test_acc,test_f1,wsd_1way,wsd_2way,wsd_3way
0,75.77,43.11,0.28073851,0.46414752,0.61108415
5,74.64,63.98,0.09438056,0.16329131,0.22401597
6,76.44,62.16,0.09269386,0.1599013,0.21924973
7,77.9,62.46,0.09077949,0.15590335,0.21372101
8,78.26,64.61,0.08530031,0.14632672,0.20126109
9,79.61,66.57,0.0781539,0.13538879,0.18735579
10,78.54,65.7,0.06758487,0.11881001,0.16600736
11,78.53,66.28,0.0614261,0.10849791,0.15250104
12,79.26,68.81,0.05656915,0.09941205,0.1397406
13,79.05,66.19,0.05104133,0.09066604,0.12846488
14,79.19,67.51,0.04268061,0.07683078,0.1106405
15,78.44,67.64,0.03658303,0.0670192,0.09720355
16,78.33,68.62,0.03411087,0.06268995,0.09134918
17,79.13,68.81,0.03180685,0.05731893,0.08362514
18,79.63,70.3,0.02786007,0.05185189,0.07686418
19,80.18,70.24,0.02764411,0.05060893,0.0744436
20,80.24,70.11,0.02754266,0.05086214,0.07491642
21,80.53,70.6,0.02783856,0.05141418,0.07504702
22,79.72,70.3,0.02735485,0.04984731,0.07241251
23,80.25,70.97,0.02792564,0.05036602,0.07324108
24,79.8,69.86,0.0283836,0.05132636,0.07435308
25,80.29,70.47,0.02824308,0.05151883,0.07462176
26,80.43,70.09,0.02779524,0.05059936,0.07289662
27,80.57,71.17,0.02763492,0.04948355,0.07097977
28,80.56,71.32,0.02977745,0.05305584,0.07560966
29,80.94,70.78,0.02920342,0.05271038,0.07579519
