iteration,test_acc,test_f1,wsd_1way,wsd_2way,wsd_3way
0,75.77,43.11,0.30031446,0.49965766,0.66105304
5,74.86,62.9,0.08959497,0.15440445,0.21144469
6,76.57,63.1,0.09108409,0.15661163,0.21397965
7,77.14,66.09,0.09045336,0.15454302,0.21065248
8,76.13,62.82,0.08279508,0.1421595,0.19441893
9,77.0,63.6,0.07574989,0.12953381,0.17730416
10,78.42,67.18,0.06310325,0.10942171,0.15189588
11,77.58,69.06,0.05564234,0.09743915,0.13641945
12,78.74,69.46,0.05502059,0.09532526,0.13329809
13,79.79,71.31,0.04741629,0.08393061,0.11913509
14,78.6,69.77,0.04172368,0.07447275,0.10658191
15,78.88,69.32,0.03401502,0.06248128,0.09133389
16,78.93,68.89,0.03308308,0.06122457,0.08986165
17,79.35,69.9,0.0281681,0.05378794,0.0805682
18,79.2,69.42,0.02946828,0.05549632,0.08249287
19,78.89,69.2,0.02885149,0.05340819,0.07902135
20,79.87,70.48,0.02849779,0.051909,0.07641445
21,79.84,70.58,0.02717442,0.05037966,0.07486837
22,79.63,70.88,0.02570686,0.04792087,0.07151287
23,79.58,70.54,0.02398088,0.045287,0.06825682
24,78.96,69.96,0.02589731,0.04730393,0.06991684
25,79.16,70.73,0.02645979,0.04846385,0.07132271
26,79.9,70.27,0.02615492,0.04831507,0.07075754
27,78.95,68.73,0.02646481,0.04900842,0.07162518
28,79.07,69.31,0.0288166,0.05232693,0.07565389
29,79.28,68.91,0.02820203,0.05114195,0.07424364
