iteration,test_acc,test_f1,wsd_1way,wsd_2way,wsd_3way
0,75.77,43.11,0.29660054,0.49305492,0.65257954
5,74.16,70.18,0.17556207,0.30865077,0.42376145
6,73.8,67.83,0.17740858,0.30939158,0.42366721
7,75.24,70.82,0.17826183,0.30975132,0.42388939
8,78.63,70.9,0.17185967,0.3014564,0.41461772
9,80.1,72.52,0.1693962,0.29783507,0.41007139
10,79.86,71.21,0.16698412,0.29485546,0.40677252
11,78.09,71.76,0.16200111,0.28759338,0.39850689
12,79.72,72.3,0.15330325,0.27439319,0.38219746
13,77.69,69.91,0.14772325,0.26540124,0.37070601
14,77.86,69.19,0.1419564,0.2553709,0.35761628
15,77.56,70.66,0.13406438,0.24261153,0.34102697
16,78.35,71.27,0.12991583,0.23584395,0.33253604
17,77.52,69.81,0.12668736,0.23096646,0.326704
18,78.81,71.9,0.121421,0.22175721,0.31437909
19,77.95,72.39,0.11789048,0.21662186,0.30779328
20,77.91,72.38,0.11521868,0.2119135,0.3016757
21,78.22,72.94,0.11375477,0.2081694,0.29597299
22,78.02,72.36,0.11140134,0.2042123,0.29048383
23,78.6,71.73,0.10765649,0.19804818,0.28206443
24,79.65,72.56,0.10322161,0.19087092,0.2727069
25,80.07,73.81,0.10327486,0.19014118,0.27127682
26,79.28,73.43,0.10037597,0.1862464,0.26673325
27,78.74,71.63,0.09787026,0.18303878,0.26291343
28,78.61,72.69,0.09573331,0.17945137,0.25859468
29,79.68,73.17,0.09246538,0.17362618,0.25028303
