iteration,test_acc,test_f1,wsd_1way,wsd_2way,wsd_3way
0,75.77,43.11,0.30031446,0.49965766,0.66105304
5,78.14,69.65,0.12990492,0.23127653,0.32338073
6,77.3,68.99,0.13214735,0.23391199,0.3253848
7,75.64,68.88,0.13095122,0.23238795,0.32354372
8,75.48,69.67,0.12347106,0.21910168,0.30523547
9,71.82,67.74,0.11770302,0.21001609,0.2936824
10,72.54,67.86,0.10581828,0.19053379,0.2682143
11,77.03,70.59,0.10199578,0.18491576,0.26098453
12,77.03,70.91,0.09346197,0.17120471,0.24332963
13,76.34,69.54,0.0892338,0.16368284,0.23352954
14,77.79,71.11,0.08431726,0.15523543,0.22291337
15,77.09,71.4,0.08018607,0.14838467,0.21406495
16,75.8,70.16,0.07918298,0.14711781,0.21293311
17,77.1,70.85,0.07354126,0.13887424,0.20263104
18,75.38,69.95,0.07310495,0.13880699,0.20346779
19,74.78,69.3,0.07015735,0.13379761,0.19717214
20,76.51,70.91,0.06919015,0.13268347,0.19595036
21,76.29,70.63,0.06701549,0.12960828,0.19227683
22,76.72,71.15,0.0677795,0.1315866,0.19529073
23,77.2,70.35,0.06769254,0.13117368,0.19503266
24,76.92,70.5,0.06725572,0.13103073,0.19556791
25,77.52,70.37,0.06600032,0.12837959,0.19167154
26,76.85,70.57,0.06521542,0.12642829,0.18841912
27,79.2,71.14,0.06597794,0.12774856,0.18994084
28,78.98,70.42,0.06721394,0.12969968,0.19197231
29,79.21,71.71,0.0665347,0.12827931,0.18968899
