iteration,test_acc,test_f1,wsd_1way,wsd_2way,wsd_3way
0,75.77,43.11,0.27713127,0.45848595,0.60404605
5,76.02,48.44,0.11427423,0.19608846,0.26647274
6,77.03,52.83,0.11571238,0.19793464,0.2686245
7,78.6,61.39,0.11897709,0.20250755,0.27397031
8,78.26,62.67,0.11507173,0.19547933,0.26464927
9,78.93,65.47,0.10803208,0.18310283,0.24833044
10,78.44,66.72,0.09786265,0.16703611,0.22768977
11,79.52,67.95,0.09004528,0.15447752,0.21179379
12,79.14,66.89,0.08321091,0.14408186,0.19867581
13,79.24,69.35,0.07361912,0.1281679,0.17788966
14,80.11,70.91,0.06819754,0.11985358,0.1672577
15,79.24,68.24,0.06147496,0.10814545,0.15160238
16,80.88,72.42,0.05164038,0.09266168,0.13181084
17,79.94,71.14,0.04547012,0.08385491,0.12088468
18,80.28,71.89,0.04248026,0.07733369,0.11188178
19,79.97,71.5,0.04014903,0.07327032,0.1065218
20,80.45,72.29,0.0318829,0.05998789,0.08908848
21,80.26,72.6,0.02797711,0.05415997,0.08159127
22,79.63,70.13,0.03022995,0.05650264,0.08385654
23,79.69,69.19,0.02899456,0.05384286,0.08021848
24,80.12,70.36,0.02664004,0.05059999,0.07622467
25,79.76,70.05,0.02659522,0.0504907,0.07629396
26,79.97,69.37,0.0250469,0.04828878,0.07308359
27,80.25,70.11,0.02477097,0.04768978,0.07213426
28,80.15,69.34,0.02444015,0.04686739,0.0710858
29,79.98,68.68,0.02525236,0.04805019,0.07234314
