iteration,test_acc,test_f1,wsd_1way,wsd_2way,wsd_3way
0,75.77,43.11,0.27713127,0.45848595,0.60404605
5,80.61,73.05,0.12121889,0.21323035,0.29397432
6,80.45,72.4,0.11876222,0.2082607,0.28681737
7,79.27,70.49,0.11442677,0.20053676,0.27686394
8,79.33,70.33,0.1071069,0.18917036,0.26242361
9,80.42,70.01,0.10041643,0.17761426,0.24710219
10,79.42,68.09,0.09340787,0.16629049,0.23239899
11,79.55,64.07,0.08749598,0.15578601,0.21797484
12,80.71,67.76,0.08137398,0.14535417,0.20417883
13,80.43,67.93,0.0749455,0.13589645,0.19284425
14,81.15,68.51,0.06866275,0.12701257,0.182498
15,79.1,61.84,0.06552822,0.1223089,0.17676112
16,80.54,65.58,0.06124606,0.11591759,0.16894077
17,80.52,65.89,0.0564276,0.10794546,0.15862656
18,79.84,63.46,0.05262813,0.10182488,0.15052477
19,78.54,59.58,0.05223157,0.10104291,0.14946409
20,79.28,61.44,0.05206302,0.10002584,0.14760696
21,79.33,61.31,0.0500791,0.09675308,0.14325043
22,78.88,59.95,0.04995206,0.09582355,0.14152132
23,78.95,59.51,0.04789687,0.09228146,0.13659846
24,78.74,58.84,0.04725961,0.09118881,0.13523622
25,78.47,58.06,0.04543923,0.08857385,0.13191915
26,79.1,59.7,0.04523601,0.08763492,0.13045157
27,79.21,60.33,0.04752502,0.09121192,0.1350867
28,79.34,60.76,0.04585983,0.08892212,0.13219684
29,79.34,60.96,0.04503357,0.0875557,0.13025287
