iteration,test_acc,test_f1,wsd_1way,wsd_2way,wsd_3way
0,75.77,43.11,0.27713127,0.45848595,0.60404605
5,73.96,68.52,0.18660487,0.33915223,0.47622983
6,71.47,66.64,0.1698799,0.31362351,0.44464938
7,67.69,64.55,0.16024943,0.29856267,0.42618403
8,64.64,62.48,0.15364531,0.28943467,0.41534779
9,66.27,63.93,0.14967222,0.28345464,0.40842897
10,70.39,67.17,0.14410599,0.27550301,0.39915807
11,71.53,67.99,0.13969491,0.26885395,0.39067477
12,73.75,69.8,0.13874148,0.2667438,0.38772256
13,71.02,67.67,0.13958576,0.2669281,0.38699739
14,72.4,68.94,0.13666764,0.26284676,0.38191211
15,71.86,68.33,0.13578035,0.26057788,0.37842237
16,74.05,70.18,0.13430377,0.25711351,0.37268929
17,77.06,72.34,0.13310676,0.25499843,0.36937143
18,76.47,71.57,0.13335038,0.2546389,0.36828139
19,78.84,73.05,0.13435907,0.25567161,0.36895094
20,79.84,71.62,0.13480846,0.2559534,0.36847587
21,80.67,73.77,0.13567508,0.25664793,0.36943897
22,80.54,72.64,0.1328794,0.25175734,0.36228272
23,80.26,68.02,0.1341418,0.25456342,0.36659927
24,79.68,64.51,0.13315561,0.25295323,0.36451967
25,79.63,65.91,0.13490493,0.255862,0.36836172
26,79.45,68.49,0.13454225,0.25535223,0.36767772
27,78.68,65.2,0.13387742,0.25422628,0.36624527
28,79.91,67.63,0.13433254,0.2550773,0.3672983
29,80.98,73.32,0.13371533,0.2538906,0.36571904
