iteration,test_acc,test_f1,wsd_1way,wsd_2way,wsd_3way
0,75.77,43.11,0.27713127,0.45848595,0.60404605
5,76.93,58.37,0.11737774,0.20545123,0.28228074
6,75.62,58.27,0.1091309,0.19274503,0.26680173
7,76.97,55.76,0.09954969,0.1777428,0.24752529
8,78.02,57.67,0.0921491,0.16514171,0.23103179
9,78.85,60.81,0.08680583,0.15560353,0.21811021
10,78.64,61.74,0.07787026,0.14111565,0.19936719
11,79.28,62.77,0.07014674,0.12801617,0.18199648
12,79.24,64.66,0.06255261,0.11569634,0.16596018
13,78.46,62.05,0.05951066,0.10978069,0.15776375
14,78.96,65.03,0.05528924,0.10255637,0.14805468
15,78.78,65.94,0.05290928,0.0988529,0.14314903
16,79.54,67.6,0.04867857,0.09142541,0.1332506
17,80.03,69.6,0.04546021,0.08532378,0.12466584
18,80.56,69.81,0.04330591,0.08213335,0.12068869
19,80.82,70.24,0.04015753,0.07599551,0.11199995
20,80.56,70.2,0.03688953,0.07083584,0.10515079
21,81.13,71.35,0.03487677,0.06745569,0.10090431
22,81.28,71.32,0.03505768,0.06706934,0.09986381
23,81.8,72.59,0.03430519,0.06556996,0.09754069
24,80.94,71.68,0.03327869,0.06392086,0.0953387
25,81.52,72.67,0.03318138,0.06297685,0.09366128
26,81.38,72.35,0.03214683,0.06178303,0.09226192
27,81.44,72.9,0.03211731,0.06151237,0.09166596
28,81.01,72.22,0.03065166,0.05892217,0.08801053
29,80.94,72.15,0.03145149,0.06004214,0.08926566
