iteration,test_acc,test_f1,wsd_1way,wsd_2way,wsd_3way
0,75.77,43.11,0.27713127,0.45848595,0.60404605
5,77.76,70.61,0.11461072,0.20206417,0.27983351
6,78.33,72.46,0.11091118,0.19499041,0.26993275
7,80.96,72.53,0.10422864,0.1846011,0.2563118
8,80.71,68.99,0.09332681,0.16672468,0.23335629
9,79.12,64.78,0.08664689,0.15567132,0.21899476
10,79.65,67.46,0.08239956,0.14875773,0.20989281
11,79.21,63.76,0.07548737,0.13690051,0.19415427
12,79.1,64.13,0.07041957,0.12813381,0.18225013
13,79.16,64.67,0.06170176,0.11436907,0.16484792
14,79.3,65.18,0.05914324,0.11021155,0.15933533
15,79.55,65.25,0.05680703,0.10599239,0.15358739
16,78.91,63.08,0.05398955,0.10087647,0.14672545
17,77.94,59.08,0.05023264,0.09486531,0.13889262
18,78.02,58.5,0.04459216,0.08525881,0.12615127
19,78.21,61.59,0.04521068,0.08580908,0.12667732
20,78.93,63.78,0.04361968,0.08311151,0.12285208
21,78.39,62.45,0.04271613,0.08110448,0.12003792
22,78.68,63.55,0.04150875,0.07852298,0.11617203
23,78.79,64.52,0.04168412,0.07927728,0.1173274
24,78.64,64.02,0.03957869,0.07558389,0.11238281
25,79.21,65.71,0.03896993,0.07447584,0.11091558
26,78.18,63.16,0.03778045,0.07238353,0.10791308
27,78.42,63.13,0.03641244,0.07060425,0.10578031
28,77.93,61.9,0.03653894,0.07052744,0.10543306
29,77.63,63.3,0.03731884,0.07185755,0.10715765
