iteration,test_acc,test_f1,wsd_1way,wsd_2way,wsd_3way
0,75.77,43.11,0.27713127,0.45848595,0.60404605
5,77.17,52.41,0.10021874,0.17292877,0.2373444
6,79.49,63.4,0.08588349,0.14842726,0.20518862
7,80.31,65.13,0.07586028,0.13150622,0.18284548
8,81.47,69.15,0.06518253,0.11456781,0.16069733
9,81.37,70.2,0.05839562,0.10269851,0.14425517
10,80.73,69.31,0.05023014,0.08862996,0.12526316
11,81.01,70.16,0.04530972,0.08036737,0.11434933
12,81.69,72.24,0.03942448,0.07047214,0.10106134
13,81.56,72.45,0.03279823,0.06080208,0.08895957
14,81.89,72.95,0.02770572,0.05200753,0.07705815
15,81.58,72.25,0.02508207,0.04814427,0.07234581
16,81.75,72.52,0.02450485,0.04556524,0.06801415
17,82.29,74.19,0.02347839,0.043299,0.0642325
18,82.1,72.82,0.02274948,0.04247076,0.06274275
19,82.49,74.1,0.02419576,0.04444505,0.06501002
20,81.75,72.6,0.02384886,0.04407456,0.06420515
21,82.17,73.36,0.02503969,0.04594135,0.06665101
22,81.84,73.11,0.02417383,0.04440026,0.06446587
23,81.54,73.03,0.02337836,0.04347083,0.06342703
24,81.47,72.7,0.02394008,0.0442479,0.06418731
25,81.75,72.89,0.02453259,0.0448781,0.06514653
26,81.93,71.46,0.02419493,0.04451976,0.0644958
27,82.36,72.86,0.0252285,0.04627544,0.06673069
28,82.33,72.47,0.02498466,0.04595717,0.0664964
29,82.47,72.79,0.02462878,0.04493961,0.06485628
