iteration,test_acc,test_f1,wsd_5way,wsd_6way,wsd_7way
0,13.83,2.43,0.6502915,0.73787743,0.82140037
5,31.44,29.81,0.21949271,0.27048726,0.31819194
6,37.05,35.53,0.21049567,0.25956187,0.30529835
7,41.29,40.34,0.20489649,0.25209209,0.29584672
8,40.9,40.05,0.19642629,0.24180698,0.28425319
9,46.18,45.05,0.18802613,0.23188356,0.27262351
10,46.84,45.88,0.17864991,0.21995984,0.25799288
11,50.03,49.17,0.17281305,0.21216846,0.24816682
12,49.18,48.8,0.16342856,0.20060907,0.23457761
13,52.32,51.5,0.15777219,0.19332628,0.2258529
14,51.6,50.92,0.1518517,0.1862218,0.21747888
