iteration,test_acc,test_f1,wsd_1way,wsd_2way,wsd_3way
0,88.3,46.89,0.76978933,1.42232714,2.00975004
5,86.24,50.41,0.18423429,0.34339508,0.4910434
6,86.41,52.33,0.17019039,0.31785841,0.45484481
7,87.55,52.87,0.16086476,0.30064028,0.43040539
8,87.05,56.35,0.14466201,0.27059228,0.38770512
9,86.92,57.03,0.13022279,0.2432555,0.34874483
10,87.17,53.57,0.12073402,0.22539523,0.32343866
11,87.45,54.73,0.10922223,0.20688771,0.29896613
12,88.47,55.67,0.10214348,0.19342262,0.27995023
13,88.74,55.6,0.09608748,0.18062342,0.26112861
14,88.67,54.57,0.08603344,0.16224614,0.23456493
15,88.44,59.25,0.07853899,0.14726205,0.21259937
16,88.43,58.02,0.07368254,0.13912934,0.20146516
17,88.51,57.75,0.0689475,0.13026499,0.18895173
18,88.6,58.82,0.06573586,0.12477953,0.18124617
19,88.67,60.03,0.06674094,0.12539301,0.18157642
20,88.62,58.33,0.06029372,0.11470942,0.16703813
21,89.19,59.06,0.0590669,0.11202781,0.16274991
22,88.86,58.06,0.05865663,0.11070564,0.16050334
23,88.47,56.99,0.05796106,0.10891188,0.15739042
24,88.53,58.75,0.0575696,0.10826726,0.15623937
25,88.57,58.73,0.05783131,0.10816125,0.15585296
26,87.97,60.79,0.05729798,0.10613349,0.15182284
27,87.87,61.76,0.05588571,0.10296993,0.14712419
28,88.36,58.39,0.05329809,0.09873386,0.14118806
29,88.19,58.71,0.0483686,0.08929095,0.12752705
