iteration,test_acc,test_f1,wsd_1way,wsd_2way,wsd_3way
0,52.33,39.98,0.27203565,0.43924269,0.56998538
5,83.72,83.4,0.20436825,0.33964266,0.45386593
6,91.86,91.34,0.20012874,0.33355288,0.44712804
7,90.7,90.05,0.20073876,0.33232812,0.44428985
8,84.88,84.72,0.18801362,0.31495131,0.42400541
9,94.19,93.74,0.18759413,0.3135067,0.42158667
10,94.19,93.95,0.1858708,0.31032943,0.41698527
11,86.05,85.86,0.18645938,0.31230997,0.42029963
12,91.86,91.61,0.19445292,0.32309253,0.43328077
13,91.86,91.53,0.183969,0.30609984,0.41204085
14,94.19,93.82,0.17974525,0.30011475,0.40449144
15,97.67,97.51,0.17710218,0.29576601,0.39800634
16,97.67,97.51,0.17370571,0.28932875,0.38945981
17,95.35,94.96,0.18237678,0.30293722,0.40639429
18,96.51,96.33,0.17489113,0.2922296,0.39364118
19,91.86,91.44,0.1644153,0.27671728,0.37492658
