iteration,test_acc,test_f1,wsd_1way,wsd_2way,wsd_3way
0,26.04,5.9,0.29566897,0.49109582,0.65336697
5,59.64,54.32,0.09945615,0.18150504,0.25933931
6,65.04,60.1,0.10159688,0.18534706,0.26467037
7,72.86,69.71,0.1045568,0.18885552,0.26880283
8,68.78,66.57,0.1042047,0.18830755,0.26846909
9,78.66,77.57,0.10411419,0.18790824,0.26777174
10,79.14,77.24,0.10389354,0.18600391,0.26441593
11,81.67,81.88,0.1016809,0.1824742,0.25968883
12,81.71,82.36,0.0964679,0.17346567,0.24806336
13,82.52,82.42,0.09445954,0.1695374,0.24229136
14,83.99,85.59,0.0887505,0.16079234,0.23063404
15,85.68,86.82,0.08624694,0.15525752,0.22260732
16,83.66,85.36,0.08249704,0.1485134,0.2132513
17,80.02,82.2,0.07628516,0.13811534,0.19868978
18,82.52,84.37,0.06918114,0.1260965,0.18264681
19,83.07,84.9,0.0632627,0.11626734,0.1693484
20,85.68,87.55,0.05625258,0.10367253,0.15238934
21,88.43,89.53,0.05425848,0.1012104,0.14946363
22,89.13,90.26,0.04669173,0.0887165,0.13275776
23,88.84,90.31,0.0436155,0.0833067,0.12547237
24,88.69,90.02,0.03777484,0.07293599,0.11075063
25,88.91,90.09,0.03190517,0.06393966,0.09921263
26,89.2,90.28,0.0284328,0.05723856,0.08970326
27,89.31,90.38,0.02589796,0.05315122,0.08431139
28,89.31,90.54,0.02289852,0.04811243,0.07754514
29,90.08,91.14,0.0200045,0.04324105,0.070674
