iteration,test_acc,test_f1,wsd_5way,wsd_6way,wsd_7way
0,33.05,4.52,0.30248445,0.38349029,0.46075627
5,53.12,24.64,0.17000121,0.21923279,0.26661133
6,56.52,28.07,0.16004959,0.2070799,0.252586
7,59.27,30.54,0.14739115,0.19082697,0.23297429
8,61.17,32.65,0.13844866,0.17985454,0.2202274
9,62.8,33.9,0.13065646,0.17052692,0.20920935
10,62.9,34.22,0.12724536,0.16581863,0.20340139
11,63.65,35.26,0.12975757,0.16742402,0.20430032
12,63.65,35.57,0.12202989,0.15890596,0.19492006
13,63.42,36.15,0.11709811,0.15296141,0.18774181
14,64.04,36.52,0.11750663,0.15260217,0.18684502
