iteration,test_acc,test_f1,wsd_5way,wsd_6way,wsd_7way
0,55.76,51.24,0.38759974,0.46135954,0.53397628
5,79.73,79.73,0.17869032,0.22703573,0.27413174
6,84.77,84.77,0.15893277,0.20417032,0.24769387
7,85.96,85.96,0.1483344,0.19135704,0.23230745
8,86.83,86.83,0.14163338,0.18245258,0.22123677
9,85.84,85.84,0.13849996,0.17814015,0.21519075
10,86.13,86.13,0.13985825,0.17908088,0.21593733
11,86.32,86.32,0.13954854,0.17820377,0.21434023
12,86.05,86.05,0.14115815,0.17985434,0.21613772
13,85.85,85.85,0.14329191,0.18223727,0.21868606
14,85.48,85.46,0.14324932,0.1816702,0.21740138
