iteration,test_acc,test_f1,wsd_5way,wsd_6way,wsd_7way
0,52.85,52.59,0.39208961,0.46725715,0.5417347
5,81.96,81.95,0.17158581,0.21863826,0.2641742
6,84.87,84.87,0.15521612,0.19914044,0.24112746
7,86.07,86.07,0.14582882,0.18734321,0.22687876
8,86.21,86.21,0.14150261,0.18188787,0.2199886
9,85.84,85.83,0.14084923,0.18015715,0.21709164
10,85.92,85.91,0.14114207,0.18042245,0.21779813
11,85.8,85.79,0.13925311,0.17834565,0.21502031
12,85.65,85.64,0.13947926,0.17818676,0.21466831
13,85.55,85.53,0.14038275,0.17913076,0.21543492
14,85.8,85.78,0.14228849,0.1810364,0.2175155
