iteration,test_acc,test_f1,wsd_5way,wsd_6way,wsd_7way
0,48.35,47.94,0.36275192,0.43379957,0.50406079
5,55.83,55.42,0.17669222,0.22652533,0.27509301
6,58.89,58.87,0.15808531,0.20480634,0.25025115
7,59.96,59.95,0.14709512,0.19118135,0.23379988
8,60.91,60.89,0.14365839,0.18677753,0.22820808
9,60.56,60.51,0.14346256,0.18509072,0.22516711
10,61.2,61.18,0.14218839,0.18334362,0.22286998
11,60.59,60.56,0.14332509,0.1837469,0.2223719
12,60.16,60.15,0.1441774,0.18464429,0.22349927
13,59.53,59.12,0.14376728,0.18435963,0.22349623
14,61.08,61.03,0.14603307,0.18597721,0.22428303
