iteration,test_acc,test_f1,wsd_5way,wsd_6way,wsd_7way
0,51.67,45.7,0.36098365,0.4319772,0.50276912
5,53.61,53.5,0.17224726,0.22202696,0.27112516
6,57.11,56.91,0.15661398,0.20372343,0.24960057
7,59.2,59.19,0.14879296,0.19305075,0.23579222
8,61.21,61.21,0.14618481,0.18890617,0.22996434
9,59.61,59.6,0.14354345,0.18573817,0.22625091
10,60.93,60.93,0.14262465,0.1843041,0.22455091
11,59.05,59.05,0.14231916,0.18321873,0.22240432
12,59.23,59.19,0.14437913,0.18522361,0.22445296
13,60.17,60.15,0.14429451,0.18512119,0.22404566
14,59.81,59.79,0.14598347,0.18669702,0.22546062
