iteration,test_acc,test_f1,wsd_5way,wsd_6way,wsd_7way
0,52.89,52.62,0.35920552,0.42960623,0.49959126
5,64.39,64.28,0.17443685,0.22476398,0.27399268
6,66.15,66.11,0.1530996,0.19952286,0.24462812
7,67.15,67.09,0.14369925,0.18745817,0.22944445
8,67.19,67.18,0.14060417,0.183366,0.22452975
9,67.6,67.6,0.14008993,0.18220919,0.22284734
10,68.39,68.37,0.13941797,0.18036574,0.21977953
11,67.89,67.86,0.13979849,0.18035852,0.21889326
12,67.45,67.39,0.14173211,0.18232589,0.22100554
13,66.73,66.7,0.14215319,0.18279622,0.2209435
14,66.68,66.66,0.14235979,0.18275252,0.22104822
