iteration,test_acc,test_f1,wsd_5way,wsd_6way,wsd_7way
0,50.51,35.21,0.35766573,0.42734337,0.49674574
5,64.04,63.95,0.17088512,0.22000916,0.26839081
6,65.68,65.62,0.15304107,0.19960837,0.24520768
7,66.56,66.49,0.14211398,0.18612117,0.22868954
8,67.28,67.26,0.14100016,0.18385598,0.22505717
9,68.16,68.15,0.14025757,0.18234751,0.22257926
10,67.91,67.9,0.13996974,0.18117439,0.22062513
11,68.2,68.19,0.1391484,0.17994772,0.21886614
12,68.17,68.17,0.14180767,0.18273515,0.22179134
13,67.72,67.71,0.1446092,0.18566988,0.22500581
14,67.39,67.38,0.14492725,0.18565273,0.2245084
