group,metric,n,mean,std,min,max
nn,classifier_test_acc,3,86.0133,0.1644,85.8,86.2
nn,classifier_test_f1,3,86.0067,0.1731,85.78,86.2
nn,classifier_test_auc,3,93.7533,0.0939,93.64,93.87
nn,wsd_5way,3,0.1428,0.0004,0.1423,0.1432
nn,wsd_6way,3,0.1814,0.0003,0.181,0.1818
nn,wsd_7way,3,0.2178,0.0002,0.2175,0.2179
nn,runtime_seconds,3,741.05,3.3647,738.43,745.8
rff,classifier_test_acc,3,61.08,0.9007,59.81,61.8
rff,classifier_test_f1,3,61.02,0.8698,59.79,61.65
rff,classifier_test_auc,3,65.0967,1.1317,63.5,65.99
rff,wsd_5way,3,0.1462,0.0009,0.1452,0.1474
rff,wsd_6way,3,0.1864,0.0009,0.1851,0.1873
rff,wsd_7way,3,0.2246,0.0011,0.2231,0.2255
rff,runtime_seconds,3,725.1167,4.0259,719.43,728.2
tree,classifier_test_acc,3,67.5767,0.1644,67.39,67.79
tree,classifier_test_f1,3,67.5667,0.1597,67.38,67.77
tree,classifier_test_auc,3,73.2167,0.3511,72.85,73.69
tree,wsd_5way,3,0.1438,0.001,0.1425,0.1449
tree,wsd_6way,3,0.1842,0.0011,0.1831,0.1857
tree,wsd_7way,3,0.2226,0.0013,0.2215,0.2245
tree,runtime_seconds,3,725.3367,0.841,724.21,726.23
